s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000000000000000e+00,-7.012835280858288911e+01,-6.154409022295055820e+01,1.617257522998562180e+00,1.996643763708463165e-02,9.466686976752725968e+00,-2.354085106551252771e+06
1.999467181876992683e-01,-7.032805621981947297e+01,-6.155379328283452622e+01,1.621525244981116387e+00,2.272027495443957115e-02,9.214661800777994571e+00,-1.154834032403154609e+01
3.998934363753985366e-01,-7.052767748126989034e+01,-6.156440169332514500e+01,1.626351337917266271e+00,2.567869779895677607e-02,8.960574010972042203e+00,-1.133816512499593898e+01
5.998401545630978049e-01,-7.072732519357217029e+01,-6.157603985225622978e+01,1.631800185686527627e+00,2.878966710651976318e-02,8.703897333498440858e+00,-1.114450128012820151e+01
7.997868727507970732e-01,-7.092672616069276614e+01,-6.158881674959338426e+01,1.637879456567420178e+00,3.205185084895607189e-02,8.444004729894505346e+00,-1.097798795865261923e+01
9.997335909384963415e-01,-7.112614475173147355e+01,-6.160287768680097287e+01,1.644608147605501891e+00,3.532763311280778806e-02,8.179926072355875988e+00,-1.083763833899063123e+01
1.199680309126195610e+00,-7.132559704139934809e+01,-6.161835771538871853e+01,1.652009393339587184e+00,3.862829211811846103e-02,7.910580895966787374e+00,-1.071864949603569883e+01
1.399627027313894878e+00,-7.152457076136268199e+01,-6.163534798491618005e+01,1.660063558496997160e+00,4.203544755716219494e-02,7.634852489168442169e+00,-1.062092564648278348e+01
1.599573745501594146e+00,-7.172369631322348482e+01,-6.165403685661273414e+01,1.668805310801076303e+00,4.557122331334605148e-02,7.351444353125578424e+00,-1.053135156888636814e+01
1.799520463689293415e+00,-7.192263247261881531e+01,-6.167453984450439464e+01,1.678320249221099125e+00,4.952528374230107111e-02,7.059200783979907357e+00,-1.008491929776535123e+01
1.999467181876992683e+00,-7.212099837726536578e+01,-6.169700252138009944e+01,1.689237248329435559e+00,6.186799215418279513e-02,6.767527072350031148e+00,-9.375219799965321954e+00
2.199413900064691951e+00,-7.231967386188671298e+01,-6.172199216921746512e+01,1.703174267722840085e+00,8.247343701733078625e-02,6.484622873568498314e+00,-7.639784160441962513e+00
